source_id,title,city,state,asking_price,annual_revenue,practice_type,description,broker_name,listing_url,client_count,listing_code
aps-ma6477,"Lawrence, MA Area Virtual CPA Practice for Sale",,MA,,278000,Bookkeeping/Payroll,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/21221-Lawrence%2C+MA+Area+Virtual+CPA+Practice+for+Sale/,,MA6477
aps-txn6465,"Southlake, TX Based Virtually Operated Audit & Tax Practice",,TX,400000,334000,Audit/Attest,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/21207-Southlake%2C+TX+Based+Virtually+Operated+Audit+%26+Tax+Practice/,,TXN6465
aps-nj6442,"Virtual EA Tax & Accounting Practice based in Morris County, NJ",,NJ,425000,300000,Tax (EA),,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/21180-Virtual+EA+Tax+%26+Accounting+Practice+based+in+Morris+County%2C+NJ/,,NJ6442
aps-ma6431,Massachusetts-Based Virtual EA Practice for Sale,,MA,970000,570000,Bookkeeping/Payroll,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/21169-Massachusetts-Based+Virtual+EA+Practice+for+Sale/,,MA6431
aps-nl6421,Price Reduced – Motivated Seller | Central Labrador (NL) – Established Tax Practice Retail Franchise,,,380000,430000,Tax,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/21158-Price+Reduced+%E2%80%93+Motivated+Seller+%7C+Central+Labrador+%28NL%29+%E2%80%93+Established+Tax+Practice+Retail+Franchise/,,NL6421
aps-cav6370,Virtual Sacramento CPA Tax Practice,,CA,675000,400000,Tax,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/21102-Virtual+Sacramento+CPA+Tax+Practice/,,CAV6370
aps-tnv6365,Blount County Virtual CPA Practice,,TN,600000,320000,Bookkeeping/Payroll,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/21096-Blount+County+Virtual+CPA+Practice/,,TNV6365
aps-fl6315,Virtual accounting and tax practice for sale,,FL,350000,198000,Bookkeeping/Payroll,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/21044-Virtual+accounting+and+tax+practice+for+sale/,,FL6315
aps-ut6173,Utah-Based CPA Peer Review Practice,,UT,100000,98000,Audit/Attest,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/20901-Utah-Based+CPA+Peer+Review+Practice/,,UT6173
aps-txn6392,"Frisco, TX Based Virtual Bookkeeping Practice",,TX,330000,224500,Bookkeeping/Payroll,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/21129-Frisco%2C+TX+Based+Virtual+Bookkeeping+Practice/,,TXN6392
aps-sc6386,SC Low Country VIRTUAL CPA Practice,,SC,285000,185550,Bookkeeping/Payroll,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/21122-SC+Low+Country+VIRTUAL+CPA+Practice/,,SC6386
aps-de6379,"Middletown, DE Virtual Accounting & Tax Practice for Sale",,DE,285000,205000,Bookkeeping/Payroll,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/21112-Middletown%2C+DE+Virtual+Accounting+%26+Tax+Practice+for+Sale/,,DE6379
aps-cav6345,"Virtual Roseville, California CPA Practice",,CA,1750000,1202000,Bookkeeping/Payroll,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/21076-Virtual+Roseville%2C+California+CPA+Practice/,,CAV6345
aps-txn6316,"Dallas, TX CPA Practice",,TX,960000,806000,CPA Firm,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/21045-Dallas%2C+TX+CPA+Practice/,,TXN6316
aps-il6311,"Northern Lake County, IL CPA Virtual Practice",,IL,340000,284000,CPA Firm,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/21040-Northern+Lake+County%2C+IL+CPA+Virtual+Practice/,,IL6311
aps-fl6234,"Virtual Jupiter Island, FL practice for sale",,FL,85000,63000,Bookkeeping/Payroll,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/20961-Virtual+Jupiter+Island%2C+FL+practice+for+sale/,,FL6234
aps-cav6228,Virtual San Francisco Bay Area CPA Practice,,CA,1200000,535000,Bookkeeping/Payroll,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/20955-Virtual+San+Francisco+Bay+Area+CPA+Practice/,,CAV6228
aps-nc5608,Charlotte Area VIRTUAL Tax and Accounting Practice,,NC,625000,484000,Bookkeeping/Payroll,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/20464-Charlotte+Area+VIRTUAL+Tax+and+Accounting+Practice/,,NC5608
aps-azv5348,"Virtual Phoenix CPA Practice - Specialty in Cost Seg., R&D, 179D",,AZ,1400000,600000,CPA Firm,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/20197-Virtual+Phoenix+CPA+Practice+-+Specialty+in+Cost+Seg.%2C+R%26D%2C+179D/,,AZV5348
aps-txn6082,Dallas Area Semi-Virtual CPA Practice,,TX,1200000,1200000,Bookkeeping/Payroll,,Accounting Practice Sales,https://accountingpracticesales.com/Worldwide/all/20797-Dallas+Area+Semi-Virtual+CPA+Practice/,,TXN6082
